title,content,date,variant,images,verified,author,rating,product,url
Good,,19 Nov 2022,Colour: Blue,"https://m.media-amazon.com/images/I/61qv3nHSBgL._SY88.jpg
https://m.media-amazon.com/images/I/71k72YRC4CL._SY88.jpg
https://m.media-amazon.com/images/I/71zimBDT+rL._SY88.jpg",Yes,Lakshmanarao,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8
good,very good,21 Mar 2023,Colour: White,,Yes,Placeholder,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8
Adjustment of date,Anic product costing reasonable The product is working well.I like proct very much.,10 Mar 2023,Colour: White,,Yes,Sheikh Abdul Latif,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8
product quality is good,In this price products quality is very good.,14 Mar 2023,Colour: White,,Yes,MOHD SHAHRUKH,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8
Worst of money,"Bad quality,not buy this product ,low quality item , full of scratches,locking is damaged , date and day not working properly, not buy this product , go to shop watch shop and buy one or some branded watch , don't buy this product",06 May 2023,Colour: White,"https://m.media-amazon.com/images/I/71-X7Nq3QFL._SY88.jpg
https://m.media-amazon.com/images/I/71FVoh7DIcL._SY88.jpg
https://m.media-amazon.com/images/I/71iNA5o6RAL._SY88.jpg",Yes,Nabeel,1.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9
Such beautiful watches looking,"Actually I liked it give perfect fitting on hand does not too lose or too fit.which fitting I want they get me. Another, Watches white colours are lookes to fresshy, and shinning as like made today. It should be valuable money's prdouct, specially watches round figure is also perfect looking perfectly suitable and if someone have some wide wrist then it be a perfect looked don't think for it. Just go and buy. Main thing is we want some heavyweight watches on wrist, is it. And I happy for it it's heavy bcs light weight watches doesn't good manufactured. where used light material.",06 Oct 2022,Colour: White,,Yes,REHAN AHEMAD,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9
Nice 👍,Nice,05 Nov 2022,Colour: White,,No,Sarguna J,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9
Value for money,A little bit heavier but at this price it's good,10 Oct 2022,Colour: Blue,,No,Shivanshu Kashyap,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9
Best watch,"Like .value for money,good product.",15 Mar 2023,Colour: Blue,,Yes,Jitendra M.,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9
Value for money,It's a awesome watch for value for money overall i have been using for 3 months I don't get any issues from it,28 Aug 2022,Colour: Blue,,Yes,Sukumar Behera,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9
Decent watch for budget,Decent materials used. Water resistance was not mentioned anywhere so I don't know if this watch can handle any amount of water splashes. Good for budget,19 Aug 2022,Colour: Blue,https://m.media-amazon.com/images/I/81S6q-FrdPL._SY88.jpg,No,Rishabh Karnad,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9
Looking good,Watch is good for look wise. But day and dates are couldn't function well. Value for money,31 Aug 2022,Colour: White,,No,Baji Babu Miriyala,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9
Nice,Nice,15 Mar 2023,Colour: White,,Yes,Hitesh,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9
Nice product,Very good product With comfort price,07 Mar 2023,Colour: White,,Yes,Kalaka Prasad,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9
Easy to break and fake material,I dislike it delicate watch,14 Nov 2022,Colour: White,,Yes,Ramakrishna I,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10
Nice watch at this price,Best watch at this price. I bought under 400 rs . I found little scratches on back side . But I think at this price it is good deal . Also quality is little above than average .,06 Jul 2022,Colour: Blue,"https://m.media-amazon.com/images/I/71GwylcmgvL._SY88.jpg
https://m.media-amazon.com/images/I/81zYSTYyIjL._SY88.jpg",Yes,Fardin Sheikh,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10
Good,Pins in hangers are loose😭,29 Sep 2022,Colour: Blue,,No,G akash,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10
Durability is too short,Overall the looks and everything is fine. But the durability of the watch is too short.,09 Oct 2022,Colour: Blue,,Yes,Payio Kashio,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10
Nice,Nice,09 Mar 2023,Colour: White,,No,Penkeharish,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10
Good product,Good product,09 Nov 2022,Colour: Blue,,Yes,Ajay,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10
Good product,Value for money product,03 Mar 2023,Colour: Blue,,Yes,CM Girish,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10
Good one,Looks good,28 Sep 2022,Colour: White,,Yes,rakesh,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10
Nice,Nice,04 Oct 2022,Colour: White,,Yes,Manni Durgaprasad,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10
Best,Best,08 Mar 2023,Colour: White,,Yes,Akhil,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10
